github_url,pdf_url,local_pdf_path
https://github.com/Vanja-S/SCORES-25---Construction-Of-A-Greedy-Algorithm-And-Its-Empirical-Analysis-On-The-MV-Problem,,./PDFs\SCORES-25---Construction-Of-A-Greedy-Algorithm-And-Its-Empirical-Analysis-On-The-MV-Problem.pdf
https://github.com/YasserElj/Synthetic-Granular-Gen,,./PDFs\Synthetic-Granular-Gen.pdf
https://github.com/RavineWindteer/Depth-mass-estimator,,
https://github.com/LiangXu123/Robust-One-step-Speech-Enhancement-via-Consistency-Distillation-ROSE-CD-,,
https://github.com/MohamadDabboussi/Multiview-Xray-Matching,,./PDFs\Multiview-Xray-Matching.pdf
https://github.com/ryuikaneko/mps2rbm,,./PDFs\mps2rbm.pdf
https://github.com/2664139264/sequential_rl,,./PDFs\sequential_rl.pdf
https://github.com/polysummit/raise,,./PDFs\raise.pdf
https://github.com/zolento/mdpg,,./PDFs\mdpg.pdf
https://github.com/jiacheng8/fadrm,,./PDFs\fadrm.pdf
https://github.com/carlomarxdk/trilemma-of-truth,,./PDFs\trilemma-of-truth.pdf
https://github.com/tinh2044/YOLO12-UnderWater,,./PDFs\YOLO12-UnderWater.pdf
https://github.com/Guang000/Awesome-Dataset-Distillation,,./PDFs\Awesome-Dataset-Distillation.pdf
